name,state,category,rating,,,,,,,,,,Weighted_Average
Big Foot Goa,Goa,Museum,4.1,,,,,,,,,,4.25
Joggers Park,Goa,Park,4.4,,,,,,,,,,4.44
Siridao Rock Beach,Goa,Public beach,4.5,,,,,,,,,,4.44
Vasco Clock Tower,Goa,Historical landmark,4.1,,,,,,,,,,4.25
"BAPS Shri Swaminarayan Mandir, Rajkot",Gujarat,Hindu temple,4.6,,,,,,,,,,4.6
Mahatma Gandhi Museum,Gujarat,History museum,4.5,,,,,,,,,,4.35
Watson Museum,Gujarat,Museum,4.4,,,,,,,,,,4.35
Jubilee Garden,Gujarat,Garden,4.1,,,,,,,,,,4.4
Ishwariya Park,Gujarat,Park,4.5,,,,,,,,,,4.4
Prem Mandir,Gujarat,Catholic church,4.4,,,,,,,,,,4.6
Aji Park,Gujarat,Park,4.3,,,,,,,,,,4.4
Narshi Mehta Garden,Gujarat,Garden,4.4,,,,,,,,,,4.4
"Shree Ishwariya Mahadev Mandir , Rajkot",Gujarat,Hindu temple,4.6,,,,,,,,,,4.6
Tramba Triveni Sangam,Gujarat,Park,4.6,,,,,,,,,,4.4
Kaba Gandhi No Delo,Gujarat,Museum,4.7,,,,,,,,,,4.35
Aryabhatt Science Museum,Gujarat,Museum,4.2,,,,,,,,,,4.35
Rajkot garden,Gujarat,Garden,4.1,,,,,,,,,,4.4
Blue Step Garden,Gujarat,Park,4.5,,,,,,,,,,4.4
Akhnoor Fort,Jammu and Kashmir,Fortress,4.2,,,,,,,,,,4.5
Maharaja Hari Singh Ji Park,Jammu and Kashmir,Park,4.2,,,,,,,,,,4.41
Bagh-E-Bahu,Jammu and Kashmir,Park,4.4,,,,,,,,,,4.41
Amar Mahal Museum and Library,Jammu and Kashmir,Museum,4.2,,,,,,,,,,4.5
Mubarak Mandi Park,Jammu and Kashmir,Park,4.2,,,,,,,,,,4.41
Maha Maya Temple,Jammu and Kashmir,Hindu temple,4.8,,,,,,,,,,4.68
Bahu Fort Park,Jammu and Kashmir,Park,4.3,,,,,,,,,,4.41
Dogra Art Museum,Jammu and Kashmir,Heritage museum,4.2,,,,,,,,,,4.5
Gateway Of India Mumbai,Maharashtra,Historical landmark,4.6,,,,,,,,,,4.49
ISKCON Mandir - Juhu,Maharashtra,Hindu temple,4.7,,,,,,,,,,4.69
Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Maharashtra,History museum,4.6,,,,,,,,,,4.49
Priyadarshini Park,Maharashtra,Park,4.5,,,,,,,,,,4.35
Haji Ali Dargah,Maharashtra,Shrine,4.4,,,,,,,,,,4.69
ISKCON Chowpatty (Sri Sri Radha Gopinath Mandir),Maharashtra,Hindu temple,4.8,,,,,,,,,,4.69
Dr. Bhau Daji Lad Museum,Maharashtra,Museum,4.4,,,,,,,,,,4.49
Thiruchembur Murugan Temple,Maharashtra,Hindu temple,4.7,,,,,,,,,,4.69
National Museum of Indian Cinema,Maharashtra,Museum,4.6,,,,,,,,,,4.49
Mani Bhavan Gandhi Sangrahalaya,Maharashtra,Historical place museum,4.6,,,,,,,,,,4.49
Cathedral of the Holy Name,Maharashtra,Catholic cathedral,4.7,,,,,,,,,,4.69
Sanjay Gandhi National Park,Maharashtra,National park,4.3,,,,,,,,,,4.35
Band Stand,Maharashtra,Scenic spot,4.4,,,,,,,,,,4.35
Chatrapati Shivaji Maharaj Park,Maharashtra,Park,4.5,,,,,,,,,,4.35
